AuthorID,Author_about
A100000088,Hans Jakob Christoffel von Grimmelshausen Grimmelshausen was born at Gelnhausen. At the age 
A100000089,"William Congreve ""William Congreve was an English playwright and po"
A100000090,"Galileo Galilei Galileo Galilei was a Tuscan (Italian) physicist, "
A100000091,Matsuo Bashō MATSUO Bashō (松尾 芭蕉) was the most famous poet of t
A100000092,Brother Lawrence Brother Lawrence was born Nicolas Herman in Hérimé
A100000093,François de La Rochefoucauld 
A100000094,"Robert  Burton Robert Burton was an English scholar, born in 1577"
A100000095,"Isaac Newton Sir Isaac Newton, FRS , was an English physicist, "
A100000096,Miguel de Cervantes Saavedra Miguel de Cervantes Saavedra was a Spanish novelis
A100000097,"Voltaire Complete works (1880) : In 1694, Age of Enlightenm"
A100000098,Pierre Choderlos de Laclos Pierre Ambroise François Choderlos de Laclos was a
A100000099,Johann Wolfgang von Goethe Johann Wolfgang von Goethe was a German writer. Ge
A100000100,"William Blake William Blake was an English poet, painter, and pr"
A100000101,"Denis Diderot Denis Diderot was a French philosopher, art critic"
A100000102,Henry Fielding Henry Fielding was born in Somerset in 1707. The s
A100000103,"Samuel Taylor Coleridge Samuel Taylor Coleridge was an English poet, criti"
A100000104,Immanuel Kant Immanuel Kant was an 18th-century philosopher from
A100000105,"Jonathan Swift Jonathan Swift was an Anglo-Irish satirist, essayi"
A100000106,"Montesquieu Montesquieu, generally referred to as simply , was"
A100000107,Founding Fathers The term  refers broadly to the individuals of the
A100000108,"Friedrich Schiller Friedrich Schiller (November 10, 1759 – May 9, 180"
A100000109,Daniel Defoe Daniel Defoe (1659/1661 [?] - 1731) was an English
A100000110,Friedrich Hölderlin Johann Christian Friedrich Hölderlin was a major G
A100000111,Jean-Jacques Rousseau Jean-Jacques Rousseau remains an important figure 
A100000112,David Hume David Hume (/ˈhjuːm/; 7 May 1711 NS (26 April 1711
A100000113,Jacques-Henri Bernardin de Saint-Pierre Jacques-Henri Bernardin de Saint-Pierre was a Fren
A100000114,George Berkeley George Berkeley (/ˈbɑːrklɪ/;[1][2] 12 March 1685 –
A100000115,"Ann Radcliffe Ann Radcliffe was an English author, a pioneer of "
A100000116,Samuel Johnson Samuel Johnson was an English author. Beginning as
A100000117,Alexander Pope Alexander Pope is generally regarded as the greate
A100000118,Charlotte Lennox Charlotte Ramsay Lennox (born: c. 1730) was a Brit
A100000119,"Thomas Jefferson More than a mere renaissance man, Jefferson may ac"
A100000120,Cao Xueqin Cao Xueqin (; pinyin: Cáo Xuěqín; Wade–Giles: Ts'a
A100000121,Richard Brinsley Sheridan Richard Brinsley Sheridan was an Irish-born playwr
A100000122,Jonathan Edwards Jonathan Edwards was the most eminent American phi
A100000123,"Pierre de Marivaux Pierre Carlet de Chamblain de Marivaux, commonly r"
A100000124,"Maria Edgeworth Edgeworth was an Anglo-Irish gentry-woman, born in"
A100000125,Carlo Goldoni Carlo Osvaldo Goldoni was an Italian playwright an
A100000126,John Gay John Gay was an English poet and dramatist. He is 
A100000127,Laurence Sterne Laurence Sterne was an Irish-born English novelist
A100000128,"Thomas Gray Thomas Gray was a poet, letter-writer, classical s"
A100000129,Gottfried Wilhelm Leibniz Gottfried Wilhelm von Leibniz (/ˈlaɪbnɪts/; German
A100000130,"Benjamin Franklin Benjamin Franklin was a writer, a philosopher, a s"
A100000131,Yamamoto Tsunetomo 
A100000132,Elizabeth Inchbald Elizabeth Inchbald (née Simpson) (1753–1821) was a
A100000133,"Charles Brockden Brown Charles Brockden Brown (January 17, 1771 – Februar"
A100000134,"Hannah Webster Foster Hannah Webster Foster (September 10, 1758 – April "
A100000135,Charlotte Charke 
A100000136,Georg Christoph Lichtenberg Georg Christoph Lichtenberg was a German scientist
A100000137,"William Godwin In 1756, William Godwin was born in England, the s"
A100000138,"Françoise de Graffigny Françoise de Graffigny, née d'Issembourg Du Buisso"
A100000139,"Ludvig Holberg Ludvig Holberg, Baron of Holberg, a writer, essayi"
A100000140,Robert Burns Robert Burns (also known as Robin) was a Scottish 
A100000141,"Marquis de Sade Donatien Alphonse François, Marquis de Sade (1740-"
A100000142,Shota Rustaveli Shota Rustaveli (Georgian: შოთა რუსთაველი) (born a
A100000143,George Farquhar George Farquhar (1677 – 29 April 1707) was an Iris
A100000144,"Gotthold Ephraim Lessing Gotthold Ephraim Lessing was a German writer, phil"
A100000145,"Jacques Cazotte Born at Dijon, he was educated by the Jesuits, and"
A100000146,Emanuel Swedenborg Emanuel Swedenborg (born Emanuel Swedberg; Februar
A100000147,Jane Collier Jane Collier (1714 – March 1755)[1] was an English
A100000148,Pierre-Augustin Caron de Beaumarchais Pierre-Augustin Caron de Beaumarchais was a French
A100000149,William Bartram 
A100000150,"Georgiana Cavendish Georgiana Cavendish, Duchess of Devonshire (née Sp"
A100000151,Thomas Paine Thomas Paine was an English-American political act
A100000152,Henry MacKenzie 
A100000153,"Betje Wolff Elizabeth Bekker Wolff, beter bekend als Betje Wol"
A100000154,Pu Songling Pu Songling (simplified Chinese: 蒲松龄; traditional 
A100000155,"William Bligh Vice Admiral of the Blue William Bligh, FRS, RN wa"
A100000156,"Edmund Burke Edmund Burke was an Anglo-Irish statesman, author,"
A100000157,"Tobias Smollett Tobias George Smollett was born in Dalquhurn, now "
A100000158,Mary Wollstonecraft Mary Wollstonecraft was an eighteenth century Brit
A100000159,Adam Smith Although the exact date of Smith's birth is unknow
A100000160,"Fanny Burney Also known as Frances Burney and, after her marria"
A100000161,"William Beckford William Thomas Beckford was an English novelist, a"
A100000162,"Antoine François Prévost Antoine François Prévost d'Exiles (April 1, 1697 –"
A100000163,"Oliver Goldsmith The Anglo-Irish poet, dramatist, novelist, and ess"
A100000164,"James Boswell James Boswell, 10th Laird of Auchinleck and 1st Ba"
A100000165,"Rudolf Erich Raspe Rudolf Erich Raspe was a German librarian, writer "
A100000166,William Wordsworth William Wordsworth was a major English romantic po
A100000167,John Cleland John Cleland (1709 – 1789) was an English novelist
A100000168,Samuel Richardson Samuel Richardson was a major English 18th century
A100000169,"Novalis Novalis was the pseudonym of , an author and philo"
A100000170,"Horace Walpole Horatio Walpole, 4th Earl of Orford — also known a"
A100000171,Matthew Lewis Matthew Gregory Lewis was an English novelist and 
A100000172,"Alexander Hamilton Alexander Hamilton (January 11, 1755 or 1757 – Jul"
A100000173,Giambattista Vico Giovanni Battista (Giambattista) Vico or Vigo was 
A100000174,Edward Gibbon Edward Gibbon (8 May 1737 – 16 January 1794) was a
A100000175,Jane Austen Jane Austen was an English novelist whose works of
A100000176,"Jacob Grimm Jacob Ludwig Karl Grimm, German philologist, juris"
A100000177,"Gustave Flaubert Gustave Flaubert (December 12, 1821 – May 8, 1880)"
A100000178,"Thomas Hardy Thomas Hardy, OM, was an English author of the nat"
A100000179,Arthur Conan Doyle Sir Arthur Conan Doyle was born the third of ten s
A100000180,"Mark Twain Mark Twain, better known by his pen name , was an "
A100000181,"Herman Melville Herman Melville was an American novelist, short st"
A100000182,Robert Louis Stevenson Robert Louis Balfour Stevenson was a Scottish nove
A100000183,Leo Tolstoy Leo Tolstoy (Russian: ; commonly  in Anglophone co
A100000184,Nathaniel Hawthorne Nathaniel Hawthorne was a 19th century American no
A100000185,"Fyodor Dostoyevsky Fyodor Dostoyevsky (Russian: ), sometimes translit"
A100000186,Charles Dickens Charles John Huffam Dickens (7 February 1812 – 9 J
A100000187,Oscar Wilde Oscar Fingal O'Flahertie Wills Wilde was an Irish 
A100000188,"George Eliot In 1819, novelist George Eliot (nee Mary Ann Evans"
A100000189,Hans Christian Andersen Hans Christian Andersen (often referred to in Scan
A100000190,"H.G. Wells In 1866, (Herbert George) H.G. Wells was born to a"
A100000191,Friedrich Nietzsche Friedrich Wilhelm Nietzsche (1844–1900) was a Germ
A100000192,"Knut Hamsun Awarded the Nobel Prize in Literature in 1920 ""for"
A100000193,Alexander Pushkin Alexander Sergeevich Pushkin was a Russian Romanti
A100000194,Søren Kierkegaard Søren Aabye Kierkegaard was a prolific 19th centur
A100000195,"Jerome K. Jerome Jerome Klapka Jerome (May 2, 1859 – June 14, 1927)"
A100000196,"Ivan Turgenev Ivan Turgenev (Cyrillic: ) was a novelist, poet an"
A100000197,Honoré de Balzac Honoré de Balzac was a nineteenth-century French n
A100000198,Charlotte Perkins Gilman Charlotte Perkins Gilman was a prominent American 
A100000199,"Elizabeth Gaskell Elizabeth Gaskell, née Stevenson (29 September 181"
A100000200,Émile Zola Émile François Zola was an influential French nove
A100000201,"Henry James Henry James, OM, son of theologian Henry James Sr."
A100000202,Georg Wilhelm Friedrich Hegel German philosopher and one of the founding figures
A100000203,Joseph Conrad Joseph Conrad (born ) was a Polish-born English no
A100000204,"Alexandre Dumas fils Alexandre Dumas (son) was born in Paris, France, t"
A100000205,Jules Verne Jules Gabriel Verne was a French author who pionee
A100000206,"Walter Scott Sir Walter Scott was born on August 15, 1771 in Ed"
A100000207,Johann Peter Hebel Johann Peter Hebel (10 May 1760 – 22 September 182
A100000208,"Karl Marx In 1818, Karl Marx, descended from a long line of "
A100000209,Mary Elizabeth Braddon Mary Elizabeth Braddon was a British Victorian era
A100000210,"Anthony Hope Sir Anthony Hope Hawkins, better known as Anthony "
A100000211,Edgar Allan Poe The name Poe brings to mind images of murderers an
A100000212,"Washington Irving Washington Irving was an American author, essayist"
A100000213,Ivan Goncharov Ivan Alexandrovich Goncharov was a Russian novelis
A100000214,Anthony Trollope Anthony Trollope became one of the most successful
A100000215,"Lewis Carroll The Reverend Charles Lutwidge Dodgson, better know"
A100000216,Henrik Ibsen Henrik Johan Ibsen was a major Norwegian playwrigh
A100000217,"Louisa May Alcott As : Behind a Mask, or a Woman's Power (1866)The A"
A100000218,"Stendhal Stendhal, better known by his pen name , was a 19t"
A100000219,"Victor Hugo Victor Hugo, in full Victor-Marie Hugo (b. Februar"
A100000220,Edmond Rostand Edmond Rostand was a French poet and dramatist.Ros
A100000221,"John Stuart Mill John Stuart Mill, British philosopher, political e"
A100000222,Henryk Sienkiewicz Henryk Adam Aleksander Pius Sienkiewicz (also know
A100000223,Guy de Maupassant Henri René Albert Guy de Maupassant was a popular 
A100000224,Alexis de Tocqueville Alexis-Charles-Henri Clérel de Tocqueville (July 2
A100000225,"Leopold von Sacher-Masoch Austrian writer and journalist, who gained renown "
A100000226,"Heinrich von Kleist The dramatist, writer, lyricist, and publicist Hei"
A100000227,"Stephen Crane Stephen Crane was an American novelist, poet and j"
A100000228,"Harriet Ann Jacobs Harriet was born in Edenton, North Carolina to Dan"
A100000229,J. Sheridan Le Fanu Joseph Thomas Sheridan Le Fanu (28 August 1814 – 7
A100000230,Edwin A. Abbott From Biography Base:Edwin Abbott Abbott (December 
A100000231,"Christina Rossetti Christina Georgina Rossetti, one of the most impor"
A100000232,"Mikhail Lermontov Mikhail Lermontov, a Russian Romantic writer, poet"
A100000233,Nikolai Gogol Nikolai Vasilievich Gogol () was born in the Ukrai
A100000234,Johann David Wyss From Christian Classics LibraryWyss is best rememb
A100000235,"Alexandre Dumas Alexandre Dumas, père (French for ""father"", akin t"
A100000236,Anton Chekhov Anton Pavlovich Chekhov [Russian: ] was born in th
A100000237,H. Rider Haggard Sir Henry Rider Haggard was an English writer of a
A100000238,Frederick Douglass Frederick Douglass (née Frederick Augustus Washing
A100000239,"Arthur Rimbaud French poet and adventurer, who stopped writing ve"
A100000240,Bo Hampton 
A100000241,"Johann Peter Eckermann Johann Peter Eckermann (September 21, 1792 - Decem"
A100000242,"Adalbert Stifter Adalbert Stifter was an Austrian writer, poet, pai"
A100000243,"Anne Brontë Anne Brontë was a British novelist and poet, the y"
A100000244,Wilkie Collins A close friend of Charles Dickens from their meeti
A100000245,Charles Baudelaire Charles Pierre Baudelaire was a 19th century Frenc
A100000246,"Carlo Collodi Carlo Lorenzini, better known by the pen name Carl"
A100000247,James Fenimore Cooper James Fenimore Cooper was a popular and prolific A
A100000248,"Charlotte Brontë Charlotte Brontë was a British novelist, the eldes"
A100000249,Kate Chopin Kate Chopin was an American novelist and short-sto
A100000250,Henry David Thoreau Henry David Thoreau (born David Henry Thoreau) was
A100000251,"Rudyard Kipling Joseph Rudyard Kipling was a journalist, short-sto"
A100000252,Anna Sewell Anna Sewell was a kind and generous woman whose gr
A100000253,Harriet Beecher Stowe Harriet Elizabeth Beecher Stowe was an American au
A100000254,"Walt Whitman Walter Whitman was an American poet, essayist, jou"
A100000255,"William Makepeace Thackeray Thackeray, an only child, was born in Calcutta, In"
A100000256,"Charles Darwin Charles Robert Darwin was an English naturalist, e"
A100000257,"L. Frank Baum L. Frank Baum also wrote under the name , Lyman Fr"
A100000258,"Johanna Spyri Johanna Spyri was an author of children's stories,"
A100000259,Bram Stoker He was born Abraham Stoker in 1847 at 15 Marino Cr
A100000260,Mary Wollstonecraft Shelley Mary Wollstonecraft Shelley (née Mary Wollstonecra
A100000261,"Emily Brontë Emily Jane Brontë was a British novelist and poet,"
A100000262,"Harper Lee Harper Lee, known as Nelle, was born in the Alabam"
A100000263,John Steinbeck John Steinbeck III was an American writer. He wrot
A100000264,E.B. White Elwyn Brooks White was a leading American essayist
A100000265,"J.R.R. Tolkien John Ronald Reuel Tolkien, CBE, was an English wri"
A100000266,"Kurt Vonnegut Kurt Vonnegut, Junior was an American novelist, sa"
A100000267,"Arthur Golden Arthur Golden was born in Chattanooga, Tennessee, "
A100000268,"Douglas Adams Douglas Noël Adams was an English author, comic ra"
A100000269,Margaret Atwood Margaret Atwood was born in 1939 in Ottawa and gre
A100000270,"William Golding Sir William Gerald Golding was a British novelist,"
A100000271,"Lois Lowry Taken from Lowry's website:""I’ve always felt that "
A100000272,"Margaret Mitchell  Margaret Munnerlyn Mitchell, popularly known as M"
A100000273,"J.K. Rowling Although she writes under the pen name , pronounce"
A100000274,"Ken Kesey American writer, who gained world fame with his no"
A100000275,José Saramago  (pronounced [ʒuˈzɛ sɐɾɐˈmagu]) was a Nobel-laurea
A100000276,"James Joyce James Joyce, Irish novelist, noted for his experim"
A100000277,"J.D. Salinger Jerome David Salinger was an American author, best"
A100000278,Virginia Woolf (Adeline) Virginia Woolf was an English novelist a
A100000279,Hunter S. Thompson Hunter Stockton Thompson was an American journalis
A100000280,"William Styron William Styron (1925–2006), born in Newport News, "
A100000281,Anita Diamant Anita Diamant is the author of twelve books -- the
A100000282,"Larry McMurtry Larry McMurtry was born in Wichita Falls, Texas on"
A100000283,"Wilson Rawls Wilson Rawls was born on September 24, 1913, in th"
A100000284,"Anthony Burgess Anthony Burgess was a British novelist, critic and"
A100000285,"Zora Neale Hurston  was an American folklorist and author. In 1925, s"
A100000286,Daniel Keyes Daniel Keyes was an American author best known for
A100000287,C.S. Lewis CLIVE STAPLES LEWIS (1898–1963) was one of the int
A100000288,Ralph Ellison Ralph Ellison was a scholar and writer. He was bor
A100000289,Laura Ingalls Wilder Ingalls wrote a series of historical fiction books
A100000290,Ernest Hemingway Ernest Miller Hemingway was an American author and
A100000291,Tim O'Brien Tim O'Brien matriculated at Macalester College. Gr
A100000292,Amy Tan Amy Tan (Chinese: 譚恩美; pinyin: Tán Ēnměi; born Feb
A100000293,"John Irving JOHN IRVING was born in Exeter, New Hampshire, in "
A100000294,Ayn Rand Alisa Rosenbaum was born in pre-revolutionary St. 
A100000295,"Frank McCourt Francis ""Frank"" McCourt was an Irish-American teac"
A100000296,Antoine de Saint-Exupéry Antoine de Saint-Exupéry was born in Lyons on June
A100000297,"L.M. Montgomery  was a Canadian author, best known for a series of"
A100000298,"Toni Morrison Toni Morrison (born Chloe Anthony Wofford), is an "
A100000299,Caleb Carr Caleb Carr is an American novelist and military hi
A100000300,Carson McCullers Carson McCullers was an American who wrote fiction
A100000301,"Viktor E. Frankl , was an Austrian neurologist and psychiatrist as "
A100000302,Nicholas Sparks 
A100000303,Art Spiegelman Art Spiegelman (born ) is New-York-based comics ar
A100000304,"Howard Zinn Howard Zinn was a historian, playwright, and socia"
A100000305,"Norton Juster Norton Juster is an architect and planner, profess"
A100000306,Evelyn Waugh Evelyn Waugh's father Arthur was a noted editor an
A100000307,"Jorge Luis Borges Jorge Francisco Isidoro Luis Borges Acevedo, usual"
A100000308,William Gibson William Ford Gibson is an American-Canadian writer
A100000309,"E.M. Forster E.M. Forster, generally published as , was an nove"
A100000310,"Roald Dahl Roald Dahl was a British novelist, short story wri"
A100000311,"Wally Lamb Wally Lamb is the author of She's Come Undone, The"
A100000312,Robert M. Pirsig Robert Maynard Pirsig was an American writer and p
A100000313,Edith Wharton Edith Newbold Jones was born into such wealth and 
A100000314,"Laura Esquivel A teacher by trade, Laura Esquivel gained internat"
A100000315,J.M. Coetzee J.M. Coetzee is an author and academic from South 
A100000316,"Thomas Pynchon Thomas Ruggles Pynchon, Jr. is an American writer "
A100000317,"John Knowles John Knowles (September 16, 1926 - November 29, 20"
A100000318,Michael Chabon Michael Chabon (b. 1963) is an acclaimed and bests
A100000319,"Marcel Proust French novelist, best known for his 3000 page mast"
A100000320,Michael Ondaatje He was born to a Burgher family of Dutch-Tamil-Sin
A100000321,"John Berendt The son of two writers, John Berendt grew up in Sy"
A100000322,"Jean M. Auel Jean M. Auel, née Jean Marie Untinen is an America"
A100000323,"Upton Sinclair Upton Beall Sinclair, Jr. was an American author w"
A100000324,"Jhumpa Lahiri Nilanjana Sudeshna ""Jhumpa"" Lahiri was born in Lon"
A100000325,Stephen King Stephen Edwin King was born the second son of Dona
A100000326,"Kenneth Grahame Kenneth Grahame was a British writer, most famous "
A100000327,Willa Cather Wilella Sibert Cather was born in Back Creek Valle
A100000328,Agatha Christie Agatha Christie also wrote romance novels under th
A100000329,Jared Diamond Jared Diamond is the author of the Pulitzer Prize-
A100000330,Dan Brown Dan Brown is the author of numerous #1 bestselling
A100000331,John Kennedy Toole John Kennedy Toole was an American novelist from N
A100000332,"Mitch Albom Mitch is an author, journalist, screenwriter, play"
A100000333,Arthur Miller Arthur Asher Miller was an American playwright and
A100000334,"T.H. White Born in Bombay to English parents, Terence Hanbury"
A100000335,Richard Bach Since  - which dominated the #1 spot on the New Yo
A100000336,Arundhati Roy Arundhati Roy is an Indian writer who is also an a
A100000337,Philip K. Dick Philip K. Dick was born in Chicago in 1928 and liv
A100000338,F. Scott Fitzgerald Scott was an American writer of novels and short s
A100000339,Isabel Allende Isabel Allende Llona is a Chilean-American novelis
A100000340,Marion Zimmer Bradley Marion Eleanor Zimmer Bradley was an American auth
A100000341,Terry Pratchett Sir Terry Pratchett sold his first story when he w
A100000342,Haruki Murakami Haruki (Japanese: ) is a popular contemporary Japa
A100000343,"Philip Pullman In 1946, acclaimed author Philip Pullman was born "
A100000344,"Tennessee Williams Thomas Lanier Williams III, better known by the ni"
A100000345,Robert A. Heinlein Robert Anson Heinlein was an American novelist and
A100000346,Salman Rushdie Sir Ahmed Salman Rushdie is a novelist and essayis
A100000347,David Foster Wallace David Foster Wallace worked surprising turns on ne
A100000348,"Diana Gabaldon Diana Jean Gabaldon Watkins grew up in Flagstaff, "
A100000349,Albert Camus Albert (1913-1960) was a representative of non-met
A100000350,"Maya Angelou Maya Angelou, born Marguerite Ann Johnson April 4,"
A100000351,Aleksandr Solzhenitsyn Aleksandr Isayevich Solzhenitsyn was a Soviet and 
A100000352,Colleen McCullough Colleen Margaretta McCullough was an Australian au
A100000353,Alex Haley Alexander Murray Palmer Haley was an American writ
A100000354,"J.M. Barrie Sir James Matthew Barrie, 1st Baronet, OM was a Sc"
A100000355,Margaret Wise Brown Margaret Wise Brown wrote hundreds of books and st
A100000356,Rohinton Mistry Rohinton Mistry is considered to be one of the for
A100000357,Boris Pasternak Boris Pasternak was born in Moscow to talented art
A100000358,Kahlil Gibran Kahlil Gibran (Arabic: جبران خليل جبران) was a Leb
A100000359,"Daphne du Maurier If Daphne du Maurier had written only Rebecca, she"
A100000360,"T.S. Eliot Eliot was a poet, dramatist and literary critic. H"
A100000361,William Faulkner William Cuthbert Faulkner was a Nobel Prize-winnin
A100000362,Dr. Seuss Theodor Seuss Geisel was born 2 March 1904 in Spri
A100000363,Joseph Heller Joseph Heller was the son of poor Jewish parents f
A100000364,"James Clavell James Clavell, born Charles Edmund Dumaresq Clavel"
A100000365,"Chinua Achebe Chinua Achebe was a novelist, poet, professor at B"
A100000366,Anne Rice Anne Rice (born Howard Allen Frances O'Brien) is a
A100000367,Margery Williams Bianco Margery Williams Bianco was an English-American au
A100000368,Bill Watterson Bill Watterson (born William Boyd Watterson II) is
A100000369,Cormac McCarthy Cormac McCarthy is an American novelist and playwr
A100000370,Patrick Süskind From 1968-1974 he studied medieval and modern hist
A100000371,Shel Silverstein Shel Silverstein was the author-artist of many bel
A100000372,"Hermann Hesse Hermann Hesse was a German-Swiss poet, novelist, a"
A100000373,Corrie ten Boom Corrie ten Boom and her family were Christians who
A100000374,Franz Kafka Franz was one of the major fiction writers of the 
A100000375,"Jack London Jack London was an American novelist, journalist, "
A100000376,A.A. Milne Alan Alexander Milne (pronounced /ˈmɪln/) was an E
A100000377,William Goldman Goldman grew up in a Jewish family in Highland Par
A100000378,Erich Maria Remarque Erich Maria Remarque is one of the best known and 
A100000379,"George R.R. Martin George R.R. Martin was born September 20, 1948, in"
A100000380,Pearl S. Buck Pearl Sydenstricker Buck was a bestselling and Nob
A100000381,Alan Moore Alan Moore is an English writer most famous for hi
A100000382,"Mikhail Bulgakov Mikhail Bulgakov was born in Kyiv, Russian Empire "
A100000383,"Stephen Chbosky Stephen Chbosky grew up in Pittsburgh, Pennsylvani"
